latitude,longitude,municipality,municipality_uri,municipality_id,street_name_uri,street_name,house_number,house_number_addition,postal_code,charging_station_name,operator_uri,charging_station_id,operator,operator_id,operating_mode,num_charging_points,types_charging_points,charging_cards,cost,opening_hours,website
54.088244,12.124536,Kröpeliner-Tor-Vorstadt,https://www.wikidata.org/wiki/Q1790661,kropeliner_tor_vorstadt,https://www.wikidata.org/wiki/Q104344650,Gertrudenplatz,2,,18057,Gertrudenplatz 2,https://www.wikidata.org/wiki/Q39524051,gertrudenplatz_2,Stadtwerke Rostock,stadtwerke_rostock_ag,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,0.39 €/kWh; Base 0.99 €,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Gertrudenplatz-Gertrudenplatz-2/19328/
54.059539,12.118082,Südstadt,https://www.wikidata.org/wiki/Q2381518,sudstadt,https://www.wikidata.org/wiki/Q104164614,Lise-Meitner-Ring,1,,18059,team Tankstelle,,team_tankstelle,team energie GmbH & Co. KG,team_energie_gmbh_and_co_kg,public,5,4 x Combo Typ 2 (CCS) EU 300 kW; 1 x CHAdeMO 100 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/team-Tankstelle-Lise-Meitner-Ring-1/74320/
54.100504,12.181877,Brinckmansdorf,https://www.wikidata.org/wiki/Q917349,brinckmansdorf,https://www.wikidata.org/wiki/Q104163762,Alte Dorfstraße,25,,18146,BMW Autohaus Wigger,https://www.wikidata.org/wiki/Q29000342,bmw_autohaus_wigger,TOTAL Deutschland GmbH,total_deutschland_gmbh,semipublic,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,chargeable,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/BMW-Autohaus-Wigger-Alte-Dorfstrasse-25/46610/
54.109952,12.168471,Dierkow-Neu,https://www.wikidata.org/wiki/Q15944730,dierkow_neu,https://www.wikidata.org/wiki/Q104164620,Lorenzstraße,75,,18146,Shell Tankstelle,https://www.wikidata.org/wiki/Q154950,shell_tankstelle,Shell,shell_ev_charging_solutions_germany_gmbh,semipublic,4,Combo Typ 2 360 kW,ADAC e-Charge;EnBW mobility+;LogPay Charge&Fuel Card und App;Plugsurfing;Shell Recharge,,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Shell-Tankstelle-Lorenzstrasse-Lorenzstrasse-75/69089/
54.17606,12.05627,Warnemünde,https://www.wikidata.org/wiki/Q311849,seebad_warnemunde,https://www.wikidata.org/wiki/Q101194725,Parkstraße,47,,18119,Parkplatz Strand Mitte,https://www.wikidata.org/wiki/Q39524051,parkplatz_strand_mitte,Stadtwerke Rostock,stadtwerke_rostock_ag,public,4,Typ 2 22kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Spontanladen,,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkplatz-Strand-Mitte-Parkstrasse-47/66527/
54.138796,12.074583,Schmarl,https://www.wikidata.org/wiki/Q681873,schmarl,https://www.wikidata.org/wiki/Q104165165,Zur Hansemesse,1,,18106,HanseMesse,https://www.wikidata.org/wiki/Q39524051,hansemesse,Stadtwerke Rostock,stadtwerke_rostock_ag,public,4,2x Typ 2 11 kW; 2x Schuko 2.3 kW,ohne Authentifizierung;Spontanladen,free of charge,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/HanseMesse-Zur-HanseMesse-1-2/8541/
54.112387,12.136906,Toitenwinkel,https://www.wikidata.org/wiki/Q1309539,toitenwinkel,https://www.wikidata.org/wiki/Q104164427,Joliot-Curie-Allee,25,,18147,Joliot-Curie-Allee,https://www.wikidata.org/wiki/Q39524051,joliot_curie_allee,Stadtwerke Rostock,stadtwerke_rostock_ag,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,0.39 €/kWh; Base 0.99 €,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Joliot-Curie-Allee-Joliot-Curie-Allee-25/44004/
54.084009,12.126989,Stadtmitte,https://www.wikidata.org/wiki/Q1124159,stadtmitte,https://www.wikidata.org/wiki/Q104163842,Am Vögenteich,30,,18055,Am Vögenteich 30,https://www.wikidata.org/wiki/Q39524051,am_vogenteich_30,Stadtwerke Rostock,stadtwerke_rostock_ag,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,0.39 €/kWh; Base 0.99 €,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Am-Voegenteich-Am-Voegenteich-30/40041/
54.08915,12.149386,Stadtmitte,https://www.wikidata.org/wiki/Q1124159,stadtmitte,https://www.wikidata.org/wiki/Q104164583,Küterbruch,5,,18055,Parkhaus Altstadt,,parkhaus_altstadt,Parkhaus Gesellschaft Rostock GmbH,parkhaus_gesellschaft_rostock_gmbh,semipublic,2,Typ 2 22 kW,beliebige RFID-Ladekarten;Spontanladen,Parking charges,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Altstadt-Kueterbruch-5/43311/
54.08557,12.134524,Stadtmitte,https://www.wikidata.org/wiki/Q1124159,stadtmitte,https://www.wikidata.org/wiki/Q104163643,August-Bebel-Straße,88,,18055,Parkhaus am Gericht,https://www.wikidata.org/wiki/Q59587711,parkhaus_am_gericht,WIRO Wohnen in Rostock,wohnen_in_rostock_wohnungsgesellschaft_mbh,semipublic,2,Typ 2 11 kW,ohne Authentifizierung;Spontanladen,Parking charges,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Am-Gericht-August-Bebel-Strasse-88/4657/
